all_house_data.res_id,all_house_data.res_type,all_house_data.pc_detail_url,all_house_data.m_detail_url,all_house_data.city_name,all_house_data.area_name,all_house_data.business_circle_name,all_house_data.residential_name,all_house_data.property_address,all_house_data.house_type,all_house_data.build_area,all_house_data.orientation,all_house_data.floor,all_house_data.fitment_type,all_house_data.price,all_house_data.apartment_type,all_house_data.rent_type,all_house_data.audit_status,all_house_data.audit_time,all_house_data.wbo_call_count,all_house_data.wbo_mobile_call_count,all_house_data.house_room_features,all_house_data.datestr
10634,APARTMENT,http://www.ishangzu.com/zheng/10634.html,http://m.ishangzu.com/hz/zheng/10634.html,杭州市,滨江区,区政府,凯瑞金座,凯瑞金座单栋1单元0504室,2-1-0-1-0,43.96,南,5|33,精装配置齐全,4200.00,服务公寓,整租,已下架,2017-02-24 14:50:33.0,0,0,,2017-04-14
1066,APARTMENT,http://www.ishangzu.com/he/1066.html,http://m.ishangzu.com/hz/he/1066.html,杭州市,西湖区,西溪,西溪水岸花苑,西溪水岸花苑1幢2单元0601甲,3-1-1-1-2,18.00,南,6|8,精装修,1650.00,品牌公寓,合租,已下架,2017-03-08 20:11:38.0,0,0,阳台,2017-04-14
10664,APARTMENT,http://www.ishangzu.com/he/10664.html,http://m.ishangzu.com/hz/he/10664.html,杭州市,滨江区,浦沿,大同公寓,大同公寓4幢0601室甲,4-2-1-2-1,12.30,南,6|28,精装修,1650.00,品牌公寓,合租,已下架,2017-04-23 12:53:40.0,0,0,阳台,2017-04-14
10665,APARTMENT,http://www.ishangzu.com/he/10665.html,http://m.ishangzu.com/hz/he/10665.html,杭州市,滨江区,浦沿,大同公寓,大同公寓4幢0601室乙,4-2-1-2-1,12.50,南,6|28,精装修,1600.00,品牌公寓,合租,已下架,2017-02-16 13:21:19.0,0,0,飘窗,2017-04-14
10677,APARTMENT,http://www.ishangzu.com/he/10677.html,http://m.ishangzu.com/hz/he/10677.html,杭州市,滨江区,浦沿,大同公寓,大同公寓5幢0304室甲,4-2-1-2-1,12.00,南,3|28,精装修,1650.00,品牌公寓,合租,已下架,2016-09-19 18:58:13.0,0,0,阳台,2017-04-14
10678,APARTMENT,http://www.ishangzu.com/he/10678.html,http://m.ishangzu.com/hz/he/10678.html,杭州市,滨江区,浦沿,大同公寓,大同公寓5幢0304室乙,4-2-1-2-1,13.00,南,3|28,精装修,1600.00,品牌公寓,合租,已下架,2017-04-12 11:04:56.0,0,0,飘窗,2017-04-14
10686,APARTMENT,http://www.ishangzu.com/he/10686.html,http://m.ishangzu.com/hz/he/10686.html,杭州市,江干区,下沙江滨,世茂江滨花园,世茂江滨花园2幢1单元2202室甲,4-1-1-2-2,20.00,南,22|34,精装修,1650.00,品牌公寓,合租,已下架,2017-03-07 09:59:03.0,0,0,"阳台,卫生间",2017-04-14
10687,APARTMENT,http://www.ishangzu.com/he/10687.html,http://m.ishangzu.com/hz/he/10687.html,杭州市,江干区,下沙江滨,世茂江滨花园,世茂江滨花园2幢1单元2202室乙,4-1-1-2-2,13.00,南,22|34,精装修,1300.00,品牌公寓,合租,已下架,2017-04-09 15:46:21.0,0,0,阳台,2017-04-14
10689,APARTMENT,http://www.ishangzu.com/he/10689.html,http://m.ishangzu.com/hz/he/10689.html,杭州市,江干区,下沙江滨,世茂江滨花园,世茂江滨花园2幢1单元2202室丁,4-1-1-2-2,12.00,南,22|34,精装修,1100.00,品牌公寓,合租,已下架,2017-03-31 13:41:13.0,0,0,,2017-04-14
1069007,HOUSE,http://www.ishangzu.com/zheng/1069007.html,http://m.ishangzu.com/hz/zheng/1069007.html,杭州市,西湖区,学军,仓基新村(1-32),仓基新村(1-32)20幢1单元0703室,1-0-1-1-1,40.00,南,7|7,简装,1700.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1069031,HOUSE,http://www.ishangzu.com/zheng/1069031.html,http://m.ishangzu.com/hz/zheng/1069031.html,杭州市,拱墅区,拱宸桥,登云阁,登云阁0502室,6-3-2-2,148.86,,5|0,简装,2850.00,,,已下架,2016-07-27 22:23:30.0,0,0,,2017-04-14
1069081,HOUSE,http://www.ishangzu.com/zheng/1069081.html,http://m.ishangzu.com/hz/zheng/1069081.html,杭州市,下城区,武林,环西新村,环西新村3幢3单元0402室,2-1-1-1-1,58.00,南,4|7,精装配置齐全,3800.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1069097,HOUSE,http://www.ishangzu.com/zheng/1069097.html,http://m.ishangzu.com/hz/zheng/1069097.html,杭州市,拱墅区,拱宸桥,普金家园,普金家园2幢1单元0503室,3-2-1-1-0,102.00,南,5|21,精装配置齐全,3500.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
10691,APARTMENT,http://www.ishangzu.com/he/10691.html,http://m.ishangzu.com/hz/he/10691.html,杭州市,江干区,下沙沿江,天元公寓,天元公寓1幢3单元0402室乙,4-2-1-2-2,15.00,南,4|30,精装修,1500.00,品牌公寓,合租,已下架,2017-03-19 17:38:37.0,0,0,阳台,2017-04-14
1069104,HOUSE,http://www.ishangzu.com/zheng/1069104.html,http://m.ishangzu.com/hz/zheng/1069104.html,杭州市,下城区,潮鸣,天安假日,天安假日2幢1单元0501B室,1-1-0-1-1,40.00,北,5|30,简装,2300.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1069116,HOUSE,http://www.ishangzu.com/zheng/1069116.html,http://m.ishangzu.com/hz/zheng/1069116.html,杭州市,下城区,庆春,东方金座,东方金座A座1515室,1-1-1-1-0,45.00,,15|28,精装配置齐全,4000.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1069129,HOUSE,http://www.ishangzu.com/zheng/1069129.html,http://m.ishangzu.com/hz/zheng/1069129.html,杭州市,拱墅区,米市巷,云河大厦,云河大厦B幢1单元0715室,1-0-0-1-0,32.00,南,7|18,精装配置齐全,1800.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1069134,HOUSE,http://www.ishangzu.com/zheng/1069134.html,http://m.ishangzu.com/hz/zheng/1069134.html,杭州市,下城区,孩儿巷,仙林苑,仙林苑15幢1单元0801室,3-2-1-2-1,130.00,南,8|18,精装配置齐全,12000.00,,,申请已发布,2016-07-27 22:23:30.0,0,0,,2017-04-14
1069166,HOUSE,http://www.ishangzu.com/zheng/1069166.html,http://m.ishangzu.com/hz/zheng/1069166.html,杭州市,西湖区,文苑,城市心境,城市心境2幢3单元1101室,6-3-1-3-4,250.00,东南,11|25,毛坯,8000.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1069205,HOUSE,http://www.ishangzu.com/zheng/1069205.html,http://m.ishangzu.com/hz/zheng/1069205.html,杭州市,拱墅区,大关,德胜新村,德胜新村37幢2单元202室,2-1-1-1-0,54.00,南,2|6,精装配置齐全,1750.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1069234,HOUSE,http://www.ishangzu.com/zheng/1069234.html,http://m.ishangzu.com/hz/zheng/1069234.html,杭州市,西湖区,益乐,世纪新城,世纪新城13幢1单元1402室,4-2-1-2-1,140.00,东,14|27,简装,5600.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1069314,HOUSE,http://www.ishangzu.com/zheng/1069314.html,http://m.ishangzu.com/hz/zheng/1069314.html,杭州市,西湖区,文教,瑞祺大厦,瑞祺大厦1幢0100室,2-1-0-1-1,58.00,北,8|25,简装,2600.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1069315,HOUSE,http://www.ishangzu.com/zheng/1069315.html,http://m.ishangzu.com/hz/zheng/1069315.html,杭州市,西湖区,文教,瑞祺大厦,瑞祺大厦1幢1103室,1-0-1-1-0,37.60,北,11|25,简装,2300.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1069325,HOUSE,http://www.ishangzu.com/zheng/1069325.html,http://m.ishangzu.com/hz/zheng/1069325.html,杭州市,下城区,宝善,锦园,锦园8幢27单元401室,2-1-1-1-1,60.00,北,4|7,精装配置齐全,1500.00,,,已下架,2016-11-04 14:52:25.0,0,0,,2017-04-14
1069329,HOUSE,http://www.ishangzu.com/zheng/1069329.html,http://m.ishangzu.com/hz/zheng/1069329.html,杭州市,下城区,和平,紫庭花园,紫庭花园4幢1单元1102室,3-2-2-2,139.94,南,11|21,简装,5500.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1069388,HOUSE,http://www.ishangzu.com/zheng/1069388.html,http://m.ishangzu.com/hz/zheng/1069388.html,杭州市,下城区,潮鸣,凤起都市花园,凤起都市花园8幢1单元0202室,1-1-1-1-1,46.65,南,2|28,精装配置齐全,3900.00,,,已下架,2017-04-16 17:59:00.0,0,0,,2017-04-14
1069416,HOUSE,http://www.ishangzu.com/zheng/1069416.html,http://m.ishangzu.com/hz/zheng/1069416.html,杭州市,江干区,采荷,清泰小区,清泰小区53幢3单元101室,2-1-1-1-1,62.00,东北,1|7,精装配置齐全,4500.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1069432,HOUSE,http://www.ishangzu.com/zheng/1069432.html,http://m.ishangzu.com/hz/zheng/1069432.html,杭州市,下城区,庆春,东方金座,东方金座B座1809室,1-0-1-1-0,50.00,东,18|23,精装配置齐全,4500.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1069470,HOUSE,http://www.ishangzu.com/zheng/1069470.html,http://m.ishangzu.com/hz/zheng/1069470.html,杭州市,拱墅区,拱宸桥,紫荆家园,紫荆家园20幢1单元0501室,2-2-1-1,100.00,南,5|7,精装配置齐全,2600.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1069573,HOUSE,http://www.ishangzu.com/zheng/1069573.html,http://m.ishangzu.com/hz/zheng/1069573.html,杭州市,下城区,和平,朝晖路,朝晖路106号1501室,3-2-1-1-1,115.00,北,15|17,精装配置齐全,4500.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
10697,APARTMENT,http://www.ishangzu.com/he/10697.html,http://m.ishangzu.com/hz/he/10697.html,杭州市,西湖区,益乐,世纪新城,世纪新城26幢4单元0902室丁,5-2-1-2-2,13.00,北,9|25,精装修,2500.00,品牌公寓,合租,已下架,2017-03-16 19:14:40.0,0,0,,2017-04-14
1069707,HOUSE,http://www.ishangzu.com/zheng/1069707.html,http://m.ishangzu.com/hz/zheng/1069707.html,杭州市,下城区,天水,胭脂新村,胭脂新村9幢3单元0704室,1-1-1-1-1,38.00,南,7|7,精装配置齐全,3100.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1069713,HOUSE,http://www.ishangzu.com/zheng/1069713.html,http://m.ishangzu.com/hz/zheng/1069713.html,杭州市,拱墅区,米市巷,美都广场,美都广场C座1单元1613室,1-0-1-1-0,35.00,东北,16|22,精装配置齐全,2200.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1069749,HOUSE,http://www.ishangzu.com/zheng/1069749.html,http://m.ishangzu.com/hz/zheng/1069749.html,杭州市,西湖区,保俶路,王家弄,王家弄8幢0203室,2-1-1-1-0,53.00,北,2|7,简装,2200.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1069770,HOUSE,http://www.ishangzu.com/zheng/1069770.html,http://m.ishangzu.com/hz/zheng/1069770.html,杭州市,下城区,天水,三华园,三华园3栋0910室,1-1-1-1-1,48.00,东,9|53,简装,2900.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1069855,HOUSE,http://www.ishangzu.com/zheng/1069855.html,http://m.ishangzu.com/hz/zheng/1069855.html,杭州市,西湖区,学军,马塍路,马塍路13-1号1单元0503室,2-1-0-1-1,71.45,北,5|6,简装,2500.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
1069957,HOUSE,http://www.ishangzu.com/zheng/1069957.html,http://m.ishangzu.com/hz/zheng/1069957.html,杭州市,下城区,武林,环西新村,环西新村31栋3单元0501室,2-2-1-1,70.33,南,5|7,精装配置齐全,2800.00,,,已下架,2017-03-06 12:09:11.0,0,0,,2017-04-14
